czi_path,czi_key,mask_path,mask_key,score,overlap,mean_dist,best_channel,inside_sum,outside_edge_sum,inside_mean,outside_edge_mean,assignment_mode,expected_mask_key,is_mismatch
./zoomed/dprm1xdprm1-32.czi,dprm1xdprm1-32,./new40x/P1_1G7-18_mask.h5,P1_1G7-18,0.09946535410036164,1.1045801909022275,64827868.531523466,1,684714560.0,619886691.4684765,3606.000244140625,3264.589111328125,brightness_fallback,,False
./zoomed/dprm1xdprm1-34.czi,dprm1xdprm1-34,./datasets_corrected/raw_pairs/masks/0003_P1_2B2-03_mask.h5,0003_P1_2B2-03,0.06427512752284176,1.0663857404750117,36029474.352386594,1,578758592.0,542729117.6476134,3994.27587890625,3745.6201171875,brightness_fallback,,False
./new_images/filtro Ph1/5-03.czi,5-03,./datasets_corrected/raw_pairs/masks/0018_P1_1G2-09_mask.h5,0018_P1_1G2-09,0.04872100425093566,1.0499273745966455,118794665.51891613,0,2498144000.0,2379349334.481084,14597.2490234375,13903.103515625,brightness_fallback,,False
./new_images/filtro Ph1/5-05.czi,5-05,./Images_mk3/F4_mask.h5,F4,0.04541624931885753,1.0464633489247064,142971737.87254333,0,3220058112.0,3077086374.1274567,13834.1826171875,13219.939453125,brightness_fallback,,False
./new_images/filtro Ph1/5-04.czi,5-04,./Images_mk3/F7_mask.h5,F7,0.04409450258437985,1.0450811030879912,30268733.73979509,0,701697152.0,671428418.2602049,16082.16796875,15388.4404296875,brightness_fallback,,False
./new40x/P1_2B2-03.czi,P1_2B2-03,./Images_mk3/F6_mask.h5,F6,0.04136938161204931,1.0422370076410916,7440742.65346536,1,183607168.0,176166425.34653464,4954.8564453125,4754.0595703125,brightness_fallback,,False
./new_images/filtro H/5-05.czi,5-05,./Images_mk3/F7_mask.h5,F7,0.04072407736116597,1.041564664619416,34066821.841308594,1,853676992.0,819610170.1586914,19565.38671875,18784.611328125,brightness_fallback,,False
./new_images/filtro H/5-03.czi,5-03,./images_384_CNN/BF01_Position001_new_mask.h5,BF01_Position001_new,0.03992625915958731,1.0407340167609336,71506279.78770185,0,1826950144.0,1755443864.2122982,17592.033203125,16903.486328125,brightness_fallback,,False
./new40x/P1_1E3-13.czi,P1_1E3-13,./Images_mk3/F11_mask.h5,F11,0.03870503686266256,1.0394638249134496,15267258.403570592,0,402134432.0,386867173.5964294,5557.6435546875,5346.64453125,brightness_fallback,,False
./new_images/filtro Ph1/5-02.czi,5-02,./images_CNN/F4_mask.h5,F4,0.03419884110834718,1.034790335131947,101516072.35244465,0,3019454976.0,2917938903.6475554,13115.3486328125,12674.40234375,brightness_fallback,,False
./new_images/filtro Ph1/5-01.czi,5-01,./Images_mk3/F10_mask.h5,F10,0.033788698711691496,1.0343660107624135,36721099.343719125,0,1105250688.0,1068529588.6562809,14301.3427734375,13826.1923828125,brightness_fallback,,False
./new_images/filtro Ph1/5-07.czi,5-07,./Images_mk3/F16_mask.h5,F16,0.03070455038618673,1.0311807869077416,40306515.59366584,0,1332978048.0,1292671532.4063342,12434.2646484375,12058.2783203125,brightness_fallback,,False
./new_images/filtro H/5-04.czi,5-04,./new40x/P1_1G7-08_mask.h5,P1_1G7-08,0.030564229743616767,1.0310361011071534,89382606.1540227,0,2969338624.0,2879956017.8459773,16133.326171875,15647.6826171875,brightness_fallback,,False
./new_images/filtro H/5-06.czi,5-06,./Images_mk3/F14_mask.h5,F14,0.025787347716884897,1.0261227079319286,62612882.03084183,0,2459488512.0,2396875629.969158,16404.79296875,15987.1640625,brightness_fallback,,False
./zoomed/dprm1xdprm1-17.czi,dprm1xdprm1-17,./datasets_corrected/raw_pairs/masks/0000_P1_1E3-13_mask.h5,0000_P1_1E3-13,0.021956369678909002,1.0221991746188486,30049822.19034481,0,1383695744.0,1353645921.8096552,7179.82421875,7023.8994140625,brightness_fallback,,False
./zoomed/dprm1xdprm1-11.czi,dprm1xdprm1-11,./new40x/P1_1G7-08_mask.h5,P1_1G7-08,0.021273932190505062,1.0215018255502863,27788312.049176216,0,1320158208.0,1292369895.9508238,7172.82373046875,7021.84130859375,brightness_fallback,,False
./new40x/P1_1G7-08.czi,P1_1G7-08,./new40x/P1_1G7-08_mask.h5,P1_1G7-08,0.008562466011331931,1.0085992187751562,6403878.888523102,0,751108608.0,744704729.1114769,4081.0029296875,4046.208740234375,same_key_priority,P1_1G7-08,False
./new40x/P1_1G7-18.czi,P1_1G7-18,./new40x/P1_1G7-18_mask.h5,P1_1G7-18,0.004373348387754787,1.0043829154319759,3972906.0616316795,0,910425728.0,906452821.9383683,4794.69189453125,4773.76904296875,same_key_priority,P1_1G7-18,False
./new40x/P1_1G2-09.czi,P1_1G2-09,./new40x/P1_1G2-09_mask.h5,P1_1G2-09,-0.01848516573394356,0.981684627054869,-32892417.117343426,0,1762998784.0,1795891201.1173434,6247.31591796875,6363.87255859375,same_key_priority,P1_1G2-09,False
